Time,H,O,X,nn,ss,xx
21:03:06,0,1,0,2,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,0
21:03:07,0,1,0,1,0,0
21:03:07,0,1,0,1,0,2
21:03:07,0,1,0,1,0,0
21:03:07,0,1,0,1,0,2
21:03:07,0,1,0,1,0,2
21:03:07,0,1,0,2,0,2
21:03:07,0,1,0,2,0,0
21:03:07,0,1,0,2,0,0
21:03:07,0,1,0,2,0,0
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:08,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,1,0,2,0,2
21:03:09,0,0,0,2,0,2
21:03:09,0,0,0,2,0,2
21:03:09,0,0,0,2,0,2
21:03:09,0,0,0,2,0,2
21:03:09,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:10,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:11,0,0,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:12,0,1,0,2,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:13,0,1,0,0,0,2
21:03:14,0,1,0,0,0,2
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,1
21:03:14,0,1,0,0,0,2
21:03:14,0,1,0,0,0,0
21:03:14,0,1,0,0,0,0
21:03:14,0,1,0,0,0,0
21:03:14,0,1,0,0,0,0
21:03:14,0,1,0,0,0,0
21:03:14,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,0
21:03:15,0,1,0,0,0,2
21:03:15,0,1,0,0,0,2
21:03:15,0,1,0,0,0,2
21:03:15,0,1,0,0,0,2
21:03:15,0,1,0,0,0,2
21:03:15,0,1,0,0,0,2
21:03:16,0,1,0,0,0,2
21:03:16,0,1,0,0,0,2
21:03:16,0,1,0,0,0,2
21:03:16,0,1,0,2,0,0
21:03:16,0,1,0,2,0,0
21:03:16,0,1,0,2,0,0
21:03:16,0,1,0,0,0,2
21:03:16,0,1,0,2,0,0
21:03:16,0,1,0,2,1,0
21:03:16,0,1,0,2,1,0
21:03:16,0,1,0,2,1,0
21:03:16,0,1,0,0,1,2
21:03:16,0,1,0,0,1,2
21:03:16,0,1,0,0,1,2
21:03:16,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:17,0,1,0,0,1,2
21:03:18,0,1,0,0,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,1,1,2
21:03:18,0,1,0,1,1,2
21:03:18,0,1,0,1,1,2
21:03:18,0,1,0,2,1,0
21:03:18,0,1,0,2,1,0
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,1,1,2
21:03:18,0,1,0,2,1,2
21:03:18,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:19,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:20,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
